id,label,content,weight,text_weight,emo_weight
5.80E+17,0,#Últimahora Es tracta d'un aparell de Germanwings amb 152 passatgers a bord http://t.co/hT5BhpuGuv,0.844647288,0.940703869,0
5.80E+17,0,Route map now being shared by http://t.co/LZkOXadHKa. #4U9525 https://t.co/Hq8KbP2aus,0.87104702,0.939322233,0.404992478
5.80E+17,0,Pray for #4U9525 http://t.co/II7Rl24ffH,0.841671646,0.945809126,0.012412094
5.80E+17,0,Airbus A320 #4U9525 crash: Flight tracking data here: http://t.co/9W6hfTGYQV #airbus http://t.co/RchXQsoqdJ,0.830021918,0.929326355,-0.144249758
5.80E+17,0,Flightradar24 has this as the plane's last position. #4U9525 https://t.co/KffO4s4N6G,0.876809478,0.935823143,0.389328877
5.80E+17,0,IMAGE: Flightradar24 has this as the plane's last position. #4U9525 http://t.co/CIeAyJ4AOf - @BBCRosAtkins,0.894438982,0.945670903,0.389328877
5.80E+17,0,Last position Germanwings A320 via @flightradar24 http://t.co/kJ5F9vlNQs,0.844235659,0.929422081,0.297819978
5.80E+17,0,Germanwings A320 D-AIPX is one of the oldest A320 with serial number 0147 and was delivered in Nov 1990#4U9525 http://t.co/SW9ykvWtnW,0.83577168,0.864201486,0.340872968
5.80E+17,0,Last few positions of the @germanwings flight plotted on a map http://t.co/UX5G1gYGX7,0.890297174,0.953058958,0.404992478
5.80E+17,0,JUST IN: Airbus plane operated by Lufthansa's Germanwings budget airline crashes in southern France: Officials,0.703589082,0.883931518,-0.008993238
5.80E+17,0,BREAKING Last few positions of the @germanwings flight plotted on a map http://t.co/wryDeXWNPV /@planefinder,0.874596119,0.944871902,0.404992478
5.80E+17,0,Playback of flight #4U9525 is available on http://t.co/FHoX6q0GHtPictures http://t.co/VWG2skC75J http://t.co/e4D5Tx8n1x,0.839438915,0.886899233,0.404992478
5.80E+17,0,"An Airbus A320 plane operated by Germanwings crashed in France near Digne les Bains, French Prime Minister says. http://t.co/iWeLBpmiHS",0.821322918,0.943683743,-0.019279817
5.80E+17,0,"MORE: #4U9525 jet belonged to Germanwings low-cost, authorities confrm the crash, debris found http://t.co/zU6hn03xzU http://t.co/0yWIEnAtJT",0.896819115,0.801058412,-0.141401094
5.80E+17,0,Germanwings Airbus A320 crashes in French Alps: What we do and do not know http://t.co/3xKSCtFFwT http://t.co/ugwghZVbHr,0.87567246,0.916329861,0.404992478
5.80E+17,0,BREAKING: Germanwings Airbus A320 en route from Barcelona to Dusseldorf crashes in southern French Alps -- French PM. http://t.co/UhEDxeVTkX,0.82433331,0.93740803,0
5.80E+17,0,Playback of flight #4U9525 with speed and altitude graph is available on http://t.co/FHoX6q0GHt http://t.co/amfKBbdeok,0.86756134,0.909684896,-0.023004646
5.80E+17,0,"Here is the speed and altitude graph of #4U9525 from @flightradar24. Scary stuff, shows it impacted ground at 400kts http://t.co/2ZYbh4MIih",0.867318571,0.938467264,-0.383751832
5.80E+17,0,"Likely there'll be ""no survivors"" in #Germanwings crash, French President Francois Hollande says. Follow our coverage http://t.co/KH4ZKClfml",0.887178838,0.957360208,0.243371694
5.80E+17,0,UPDATE @flightradar24 altitude &amp; speed chart of #4U9525 http://t.co/wGXZMtDVDI http://t.co/pFdVDioV0e,0.866059065,0.943294346,-0.297387349
5.80E+17,0,The route of the Germanwings Airbus A320 plane which has crashed. Updates of #alpscrash here: http://t.co/L8qr5Lp1c1 http://t.co/vG7819ORUd,0.872669339,0.9483248,-0.023004646
5.80E+17,0,BREAKING NEWS: Germanwings flight GWI18G crashes in French Alps: http://t.co/v8yssTEbHR http://t.co/GA8ZdGUq30,0.867359936,0.938843489,0
5.80E+17,0,DEVELOPING: Flight log of GWI9525's Airbus A320 last recorded movements #Germanwings http://t.co/gkBze2MTkx,0.843171716,0.927846432,0.404992478
5.80E+17,0,Location of #Germanwings plane crash. http://t.co/9a9ZLDN4o7,0.897000194,0.951592088,-0.324688463
5.80E+17,0,What we do and do not know about Germanwings flight 4U9525 http://t.co/9oV6x1lrrf http://t.co/ZFaHUwPx4B,0.883503318,0.950647354,0.404992478
5.80E+17,0,"PHOTO: This 2014 file photo shows a Germanwings Airbus 320 parked at the airport in Duesseldorf, Germany: http://t.co/XeGdvCUcO9",0.869409502,0.948107958,0.340872968
5.80E+17,0,"FOX NEWS ALERT: Germanwings Airbus A320 was 24 years old, traveling from Barcelona to Dusseldorf http://t.co/OvBETeYbMt",0.836047411,0.915147007,-0.309985784
5.80E+17,0,"#4U9525: The age of the A320 (24 years) is not particularly unusual, though it is at the higher end of the curve.",0.733129859,0.830758333,-0.023004646
5.80E+17,0,Playback of flight #4U9525 with speed and altitude graph is available on http://t.co/MOQyH9KUrL http://t.co/J084cUaebe (via @flightradar24),0.864896536,0.899583697,-0.023004646
5.80E+17,0,#Germanwings Airbus A320 flight was travelling from Spain to Germany when it crashed. http://t.co/EDoH4hAD7w http://t.co/ODxFHTAWY9,0.851640344,0.943590045,0.404992478
5.80E+17,0,R.I.P. My sincere condolences to @germanwings colleagues and families. http://t.co/Ht8srgXkZ2,0.866692424,0.953103065,0.032983427
5.80E+17,0,Germanwings Airbus A320 crashes in French Alps - live updates http://t.co/ZCHyZHUQ6Y,0.82451427,0.899413943,0
5.80E+17,0,Thoughts &amp; prayers with the loved ones of the passengers on-board @germanwings #4U9525 #AirbusA320 . Horrendous tragedy.,0.837299109,0.927611947,-0.061061704
