id,label,content,weight,text_weight,emo_weight,,,,
5.53E+17,0,Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,0.63044095,0.852582932,0,,,,
5.53E+17,0,Charlie Hebdo¡¯s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,0.856642485,0.926873803,0.404992478,,,,
5.53E+17,0,Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,0.731083393,0.908013821,0.181686105,,,,
5.53E+17,0,"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0.854401588,0.870170295,0.156793558,,,,
5.53E+17,0,"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",0.71118176,0.89576453,0.113014126,,,,
5.53E+17,0,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,0.881934047,0.953546286,0.049552199,,,,
5.53E+17,0,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,0.855257154,0.951426148,-0.393172863,,,,
5.53E+17,0,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,0.851667881,0.956494868,-0.393172863,,,,
5.53E+17,0,Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,0.647005677,0.864351213,0.408582759,,,,
5.53E+17,0,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",0.838015974,0.965671182,-0.09974885,,,,
5.53E+17,0,'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,0.842778027,0.903041065,-0.119492847,,,,
5.53E+17,0,If religion ¡ª any religion ¡ª is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,0.780662298,0.930489659,0.26148844,,,,
5.53E+17,0,#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,0.854394436,0.955911636,0.318348185,,,,
5.53E+17,0,"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",0.757858038,0.927028298,0.369819568,,,,
5.53E+17,0,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,0.846546531,0.928588629,0.052340459,,,,
5.53E+17,0,Today's #CharlieHebdo cover on Houellebecq: "In 2022 I'll observe Ramadan" http://t.co/G7zbitA3Cj,0.886618316,0.940423727,0.016956738,,,,
5.53E+17,0,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,0.853926718,0.950487137,0.404992478,,,,
5.53E+17,0,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",0.899784207,0.942063689,0.31584241,,,,
5.53E+17,0,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,0.838385224,0.951747537,0.041004494,,,,
5.53E+17,0,Charlie Hebdo's Nov 2011 CHARIA HEBDO "guest-edited" by Muhammad:"100 lashes of the whip if you don't die laughing." http://t.co/5EzG448CNm,0.834409773,0.946279585,0.069759513,,,,
5.53E+17,0,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",0.820988715,0.952179551,0.223291116,,,,
5.53E+17,0,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",0.835276783,0.965177953,-0.09974885,,,,
5.53E+17,0,"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",0.723596811,0.904669821,0.202756485,,,,
5.53E+17,0,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",0.844939053,0.949534953,0.264171158,,,,
5.53E+17,0,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,0.874235392,0.948365211,0.34214076,,,,
5.53E+17,0,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,0.843754649,0.945379019,0,,,,
5.53E+17,0,"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.",0.699359179,0.892430305,0.243115891,,,,
