new_id,label,content,weight,text_weight,emo_weight
5.44E+17,0,"A police operation is underway in Martin Place, Sydney's CBD. People are advised to avoid the area.",0.631922781,0.858905673,-0.115075108
5.44E+17,0,#BREAKING A police operation is underway in the heart of Sydney's CBD with one block of Martin Place blocked off.,0.677413881,0.858415663,-0.109160596
5.44E+17,0,Australian Police Operation Under Way In Sydney http://t.co/FHC09vZ3yP,0.834580302,0.925172269,0.023869258
5.44E+17,0,Prayers needed for the situation happening in Sydney right now.,0.680764377,0.869646609,0.404992478
5.44E+17,0,This is not going to end well in Sydney . Wake up Britain it's coming here.,0.623968184,0.882465065,0.396705137
5.44E+17,0,Any lone nutjob who wants international attention for a crime now just has to wave a black flag around. Voila #sydney,0.716650367,0.914762855,-0.066594925
5.44E+17,0,Careful what you post about #Lindt Sydney siege; it feeds into bad guys' actions/reactions. Emergency responders need clear air.,0.82756424,0.910710812,0.107529049
5.44E+17,0,Every citizen of Sydney has an obligation to help Police etal maintain operational security around Lindt Cafe. Do NOT tweet Police moves,0.747447968,0.882887602,0.076378575
5.44E+17,0,"If you are in Sydney near Martin Place, do NOT tweet police movements, or mention them anywhere else.",0.606297731,0.812329948,0.333750388
5.44E+17,0,"I repeat=&gt;if you are in Sydney, do NOT tweet or post news of what Police are doing around Martin Place. Assume jihadists follow social media",0.80101788,0.918080509,0.351464759
5.44E+17,0,"What's happening in Sydney will happen in the uk it's inevitable, and our political leaders will have blood on their hands",0.66478312,0.867104888,0.257649335
5.44E+17,0,No one fully knows what is happening with the #sydneysiege but we do know anti-muslim and ignorant speculation isn't needed.,0.782069325,0.909786701,0.330326218
5.44E+17,0,"DEVELOPING: Major police operation underway at Martin Place in Sydney's central business district, police tell @ABC News.",0.734953105,0.91792798,-0.095370008
5.44E+17,0,Fingers crossed for Sydney. One day we won’t live in a world where humans terrorise each other,0.629593253,0.871427298,0.166568727
5.44E+17,0,"Be especially kind to each other today, Sydney. Especially to our Muslim friends - don't let good people be judged by the actions of a few.",0.628896952,0.851742268,0.407410574
5.44E+17,0,Do not forget that the overwhelming majority of Muslims are as disgusted by the actions of these few fanatics as you or I are #sydneysiege,0.747977018,0.944590926,0.396252765
5.44E+17,0,Thoughts and prayers with everyone involved in this terrible situation in Sydney right now. #peace,0.727532566,0.895729423,0.268994354
5.44E+17,0,"There are no verses in the Quran about Me wanting anyone to hold hostages in a chocolate shop in Sydney, you terrorist fucks.",0.72974354,0.885958791,0.033083443
5.44E+17,0,Sky News reporter @campricenews at the scene of the #sydneysiege. Live now on Sky News + http://t.co/FwFefoiKa2https://t.co/6FXegnved4,0.814576268,0.882598639,-0.117656877
5.44E+17,0,If you have any lingering doubts that the threat of radical Islam is global as well as lethal ... http://t.co/iKxnrd3Xal via @smh,0.844503403,0.947033525,0.283599904
5.44E+17,0,If there's a Sydney-style attack in the U.S. all these anti-cop protests will end in about two seconds.,0.693789959,0.869878769,0.184981005
5.44E+17,0,Police outside the Lindt cafe in Martin Place. Photo by Fairfax photographer Daniel Munoz. #SydneySiege http://t.co/2bmB5jRqjI,0.85010004,0.924785376,-0.228128697
5.44E+17,0,Horrifying news about Sydney hostagesPlease remember to ONLY blame the individuals involved not the religion they claim to operate under,0.770775318,0.914152443,0.263493147
5.44E+17,0,Plea to media - do not tweet tactical information about police positions in Sydney siege,0.728197336,0.873442113,0.186551759
5.44E+17,0,"Blame-game, disharmony &amp; hatred against all Muslims is what these fanatics at #MartinPlace #SydneySiege want! Don't let them win. #Prayers",0.842203617,0.936548233,0.273507961
5.44E+17,0,"thinking of the people in Martin Place in Sydney right now, and for the police, etc having to deal with the situation. so terrifying",0.722831666,0.880633652,0.221675322
5.44E+17,0,Major police operation unfolding in downtown Sydney http://t.co/thNggxxGEQ,0.807913423,0.910955787,-0.212976407
5.44E+17,0,#SydneySiege no real time operational footage or on the ground movements will be shared by the media to ensure terrorists are not aided.,0.754691422,0.910290003,0.300089836
5.44E+17,0,"DO NOT TWEET POLICE MOVEMENTS. Don't tweet photos of police, their faces, their location, anything. Seriously. It's simple #sydneysiege",0.751481712,0.902712345,0.278589043
